GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
F70C503F-23C1-8EDA-0489-BCF3622D22A3;Как готовить джем из черной смородины;kak-gotovit-dzhem-iz-chernoy-smorodiny;DXHJXCLggyw;;;;;;;;;
9C0FEA21-1C21-4EAE-6882-F83CEAF58DBC;Как готовить джем из красной смородины;kak-gotovit-dzhem-iz-krasnoy-smorodiny;;;;;;;;;;
A4A0A0F7-72C7-71AB-C134-39CDB9A65B74;Как готовить джем из крыжовника;kak-gotovit-dzhem-iz-kryzhovnika;;;;;;;;;;
8E60A657-12F5-D8FF-8FA0-525391A1DEAF;Как сделать джем малиновый;kak-sdelat-dzhem-malinovyy;;;;;;;;;;
BA9D5175-F507-B14C-733B-010CC2016126;Как сделать джем яблочный;kak-sdelat-dzhem-yablochnyy;;;;;;;;;;
991EA3F9-E053-24AC-4923-8611589A6107;Как сделать джем из груши;kak-sdelat-dzhem-iz-grushi;zzb9xdO9ziI;;;;;;;;;
2D8EBA39-9B2C-23DB-4C1A-D6CADF1E6F49;Как сделать джем из брусники;kak-sdelat-dzhem-iz-brusniki;;;;;;;;;;
26C6476F-F66A-0E5C-7337-8039030BEB6E;Как приготовить джем в хлебопечке;kak-prigotovit-dzhem-v-hlebopechke;;;;;;;;;;
9E43C40F-AD72-9FE8-3205-58C3D8102AE4;Как готовить клубничный джем;kak-gotovit-klubnichnyy-dzhem;;;;;;;;;;
B67241F3-F857-0952-5B4A-9D51209C7DA5;Как сделать джем из черной смородины;kak-sdelat-dzhem-iz-chernoy-smorodiny;;;;;;;;;;
2DB1F517-3061-DD05-C784-84B4E02CEB8A;Как сделать джем из крыжовника;kak-sdelat-dzhem-iz-kryzhovnika;;;;;;;;;;
B6C177BD-604E-7B91-B184-92466337590F;Как сделать джем из дыни;kak-sdelat-dzhem-iz-dyni;;;;;;;;;;
C08802A1-E5DB-F567-8524-19E716912C2F;Как приготовить сливовый джем;kak-prigotovit-slivovyy-dzhem;;;;;;;;;;
A4D36FC2-3679-2DAE-5686-39E39B7CA9A4;Джем из смородины и крыжовника;dzhem-iz-smorodiny-i-kryzhovnika;;;;;;;;;;
8453E848-1D1A-3535-7D80-BA62A04351B2;Как сделать джем из клюквы;kak-sdelat-dzhem-iz-klyukvy;vDtHODu1LQY;;;;;;;;;
BB62A87B-FEF9-5EC2-974A-B3E30DA5EA1D;Как приготовить малиновый джем;kak-prigotovit-malinovyy-dzhem;qPKjedcBJ0A;;;;;;;;;
BC9FBF08-89EB-B504-5219-DF2CEB93AC2F;Как сделать джем из айвы;kak-sdelat-dzhem-iz-ayvy;;;;;;;;;;
F8BB468C-4E2E-1604-4C95-7BDDC1B00FBE;Как сделать вкусный джем из сливы;kak-sdelat-vkusnyy-dzhem-iz-slivy;;;;;;;;;;
DDA14314-1CEC-1414-D5F6-1CD8C13461A4;Как варить джем из черной смородины;kak-varit-dzhem-iz-chernoy-smorodiny;;;;;;;;;;
5E85FAC8-D399-BCB2-F461-E4E62422F243;Вишневый джем: рецепт полезной кисло-сладкой радости;vishnevyy-dzhem-recept-poleznoy-kislo-sladkoy-radosti-;;;;;;;;;;
0D0413BB-B283-9C95-1E28-6990CD5B6813;Как приготовить лимонный джем в мультиварке;kak-prigotovit-limonnyy-dzhem-v-multivarke;;;;;;;;;;
CE216CFF-FE05-159C-6D81-52767DAD97F4;Сладкие заготовки: варенье, конфитюр, джем;sladkie-zagotovki-varene-konfityur-dzhem;;;;;;;;;;
4EA3288A-A35C-655D-84BB-87514EE1BE20;Как сделать джем клубничный;kak-sdelat-dzhem-klubnichnyy;;;;;;;;;;
4D60938E-ED4A-18C4-41DB-004DA90DCBC2;Как приготовить домашний джем с киви;kak-prigotovit-domashniy-dzhem-s-kivi;;;;;;;;;;
D94DF922-A7A8-93AB-6C32-14D9B08F57A4;Как сделать джем из малины в аэрогриле;kak-sdelat-dzhem-iz-maliny-v-aerogrile;yxqHyVJPkJw;;;;;;;;;
6EB7BB95-5F0E-7770-9725-DA97D0B665B5;Грейпфрутовый джем;greypfrutovyy-dzhem;AjTI4_KTHms;;;;;;;;;
F888BBD0-DC76-2851-4954-2B7710AD8C2D;Как приготовить домашний джем из красной смородины и черники;kak-prigotovit-domashniy-dzhem-iz-krasnoy-smorodiny-i-cherniki;gQTcRQHN0ic;;;;;;;;;
D1A7C4D2-E847-FDE6-114C-D181225443EE;Желе из красной смородины и джем из яблок и боярышника;zhele-iz-krasnoy-smorodiny-i-dzhem-iz-yablok-i-boyaryshnika;fXIWxnIJzOs;;;;;;;;;
F9F87977-ABC7-0881-4C47-6255BA9A1DB6;Томатный джем, или восхитительный соус к мясу или птице;tomatnyy-dzhem-ili-voshititelnyy-sous-k-myasu-ili-ptice;QSgYVjlgyY4;;;;;;;;;
22D81A48-B5A9-8D15-EE37-BCB768C67A47;Как приготовить джем из одуванчиков;kak-prigotovit-dzhem-iz-oduvanchikov;k2uqxZGzM3E;;;;;;;;;
7E03038B-2DE5-2607-9108-66738BF43172;Джем из инжира с лаймом;dzhem-iz-inzhira-s-laymom;o4W0IVg68Zc;;;;;;;;;
40E4A114-167A-6571-6EE3-AC42EFC0679C;"Джем &laquo;Сливовая феерия&raquo;";dzhem-slivovaya-feeriya;;;;;;;;;;
13D43D02-CE65-309C-7122-D6FD5A704826;Готовим манговый джем;gotovim-mangovyy-dzhem;qUjCPJ7hRbI;;;;;;;;;
F7F3B193-AB2C-C503-E289-35ABE3EF0DF3;Готовим фруктовый джем с орехами;gotovim-fruktovyy-dzhem-s-orehami;UzQlptE5Fj4;;;;;;;;;
54E26A18-AF6B-6B93-BE59-446D8B00AA7D;Малиновый джем с имбирем и корицей;malinovyy-dzhem-s-imbirem-i-koricey;;;;;;;;;;
871A8CA2-7E4A-6F49-5FCB-B1F08E01FA87;Готовим апельсиновый джем в микроволновке;gotovim-apelsinovyy-dzhem-v-mikrovolnovke;EbDApXwsZfc;;;;;;;;;
F9930348-C2F8-68AF-DB51-9A60515723BE;Тыквенно-цитрусовый джем;tykvenno-citrusovyy-dzhem;0NhqLmcL4Xk;;;;;;;;;
8A3E9738-29BE-099F-6C25-8292C4B4C0E6;Как приготовить джем из яблок;kak-prigotovit-dzhem-iz-yablok-;;;;;;;;;;
7BB235E4-8BDE-5133-679D-4EDBCDF22961;Как приготовить джем из кабачков с лимоном и имбирем;kak-prigotovit-dzhem-iz-kabachkov-s-limonom-i-imbirem-;;;;;;;;;;
8F51468D-8152-F813-D641-4EB13D4BAE1D;Как сварить земляничный джем;kak-svarit-zemlyanichnyy-dzhem;;;;;;;;;;
1E16E47C-46E2-B134-C9E8-CA7F2EB427BA;Как готовить яблочное повидло;kak-gotovit-yablochnoe-povidlo;;;;;;;;;;
