GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"CB869F44-5D9F-66D9-EF46-979B6020E960";"Как сделать красивые ногти в домашних условиях";;"4JJiNtNCnZ4";"Как сделать ногти красивыми в домашних условиях?";"https://nogot.net/story/kak-sdelat-krasivye-nogti-v-domashnih-usloviyah";"Не всегда есть возможность посетить салон, чтобы сделать маникюр. Но ухаживать за собой можно и дома. Итак, как сделать красивые ногти в ...";"Как сделать красивые ногти в домашних условиях - Mjusli.ru";"https://mjusli.ru/krasota_i_zdorove/uhod_za_rukami/kak-sdelat-krasivye-nogti-v-domashnix-usloviyax-sovety-i-rekomendacii";"Чтобы стать счастливой обладательницей крепких, здоровых и красивых ногтей, вовсе не обязательно отправляться в салон красоты. Выясним, как ...";"Как сделать маникюр в домашних условиях за 6 шагов";"https://www.ladywow.ru/uxod-za-nogtyami/manikyur-v-domashnih-usloviyah.html";"Сделать дизайн ногтей в домашних условиях несложно. Здесь вы найдете несколько красивых вариантов дизайна ногтей, которые легко делать лома ..."
"9038DECD-2A50-4FEE-5EC8-FD84248118E9";"Как отрастить ногти за неделю";;"NB4J1_6iPqQ";"7 советов как отрастить ногти в домашних условиях | I love tips";"http://ilovetips.ru/sovety-kak-otrastitj-nogti-v-domashnih-usloviyah/";"6 янв 2016 ... ... вам узнать, как быстрее отрастить свои ногти, и как правильно ухаживать за ... Такие ванночки можно делать несколько раз в неделю.";"Как отрастить длинные ногти быстро за 2 или 5 дней? Секреты ...";"http://maskahair.ru/voshititelnyie-nogti-v-domashnih-usloviyah/";"С одной стороны, это позволяет отрастить свои длинные ногти всего за неделю. Но с другой, требует более частой коррекции. Поэтому решайте сами ...";"Как отрастить ногти за неделю - berry-lady.ru";"https://berry-lady.ru/krasota/ruki/136-kak-otrastit-nogti-za-nedelu.html";"Как быстро отрастить длинные ногти и никогда больше с ними не расставаться. длинные ногти. «Мне не нужны длинные ногти, они мне мешают, и это ..."
"46122BDA-AD6B-AE06-2579-7945E7D0C324";"Как выровнять ногти";;"lbTiPqNRIyc";"Как выровнять ногти :: JustLady.ru - территория женских ...";"http://www.justlady.ru/articles-144304-kak-vyrovnyat-nogti";"9 чер. 2015 - 4 хв - Автор відео Наталья Голох ... и гелем, правила правильного выполнения маникюра и педикюра, секреты ухода за натуральными и искусственными ногтями.";"Как можно выровнять кривые ногти? - Брюнетка.ру";"https://brjunetka.ru/kak-ispravit-krivyie-nogti/";"Как выровнять ногтевую пластину в домашних условиях ... Ногти могут быть неровными по ряду причин, в число которых входят: Грибковые поражения ...";"Выравнивание ногтевой пластины базой гель-лака";"https://nogostop.ru/stopa/nogti/vyravnivanie-nogtevoj-plastiny.html";"В любом случае не пытайтесь выровнять ногти исключительно косметическими методами. Подобные действия могут оказаться затратными , но мало ..."
"A2B2F42E-61DC-EB32-DE74-7BC552615203";"Как сделать трафареты для ногтей";;"GdBKPyglF0M";"Трафареты для ногтей своими руками: как правильно сделать ...";"http://thewom.ru/beauty/trafarety-dlya-nogtej-svoimi-rukami-kak-pravilno-sdelat-kak-polzovatsya-trafaretom-dlya-nogtej-v-domashnih-usloviyah/";"24 лис. 2016 - 5 хв - Автор відео MarijaViolet Дорогие мои, сегодня покажу лайфхак, с помощью которого очень легко и просто работать со слайдер-дизайнами! ☀мой канал ...";"Трафареты для ногтей: своими руками, как пользоваться";"http://kapushka.ru/trafaretyi-dlya-nogtey.html";"Узнайте, как разнообразные трафареты для ногтей позволяют сделать безупречный маникюр в домашних условиях. Изучите их виды и правила ...";"Трафареты для ногтей: как пользоваться виниловыми, для ...";"https://sovets.net/6004-trafarety-dlya-nogtei.html";"С помощью трафаретов можно за короткое время сделать оригинальный дизайн ногтей. Существуют трафареты для лунного маникюра, французского ..."
"50D0A373-5D3A-D2A4-E2D8-D8446A01FB5F";"Как нарисовать простые рисунки для ногтей";;"#NAME?";"21 маникюр: простые рисунки на ногтях - JamAdvice";"http://jamadvice.com.ua/21-manikyur-prostye-risunki-na-nogtyah/";"27 май 2015 ... Красивые и простые рисунки на ногтях - прекрасный способ разнообразить свой повседневный маникюр. Сделать такой маникюр ...";"Маникюр: Простые рисунки на ногтях в домашних условиях ...";"http://modagid.ru/articles/5258";"Все, что нужно для создания рисунка – это обычная игла, и разноцветные ... Ногти покрываются бесцветным лаком.";"Простые узоры на ногтях для начинающих поэтапно (50 фото)";"https://avrorra.com/prostye-uzory-na-nogtjah-dlja-nachinajushhih-pojetapno-foto/";"Как начинающему научиться выполнять рисунки на ногтях? ... Еще один популярный метод, используемый для создания простых, но ... Добавьте к розовым лепесткам немного белого оттенка, чтобы сделать рисунок объемным."
"BE76D39B-ED26-FC9C-33CA-FE9C50593BE5";"Как точить ногти";;"GhiPtjVWXhE";"Как подпиливать ногти правильно и красиво?";"https://nogot.net/story/kak-pravilno-podpilit-nogti";"Уход за ногтями включает и их подпиливание при помощи специального инструмента (пилочек). Как правильно подпилить ногти и придать им желаемую ...";"Как правильно пилить ногти? - LifeNail.ru";"http://lifenail.ru/manikyur/podpilivaem-nogti-i-sozdaem-zhelaemuyu-formu.html";"Правильный подпил ногтей – основа не только красивого маникюра, но и здоровых ногтей. Не правильный же опил способен не только усложнить ...";"Как подпиливать ногти правильно - Записки Дикой Хозяйки";"http://beauty.wild-mistress.ru/wm/beauty.nsf/publicall/1423996_kak_podpilivat_nogti_pravilno";"Каждая вторая женщина, делая маникюр самостоятельно, не знает, как правильно подпиливать ногти. Последствиями этого становятся ломкие ногти, ..."
"78257460-8EA3-8D6D-8DF8-98D9D3BF9A4F";"Как рисовать на ногтях в домашних условиях";;"StKonE4efPQ";"Рисунки на ногтях в домашних условиях видео, дизайн и фото ...";"http://www.na-taliru.ru/krasota-i-zdorove/409-risunki-na-nogtyax-v-domashnix-usloviyax-legko.html";"Профессиональный маникюр выглядит очень красиво и аккуратно. В домашних условиях тоже можно научиться рисовать узоры на ногтях, создавать ...";"Простые рисунки на ногтях пошагово, видео - Sovets.net";"https://sovets.net/5916-prostye-risunki-na-nogtyakh.html";"27 май 2015 ... Маникюр - Простые рисунки на ногтях в домашних условиях: фото и ... Если рисование на ногтях дается вам тяжело (а особенно левой ...";"Маникюр: Простые рисунки на ногтях в домашних условиях ...";"http://modagid.ru/articles/5258";"26 янв 2016 ... Попробуем разобраться, как рисовать на ногтях, чтобы ... рисования на ногтях в домашних условиях (читайте: Рисунки на ногтях: лето)."
"5C9D4A67-314D-BA19-BFDB-7336250FDB18";"Как сделать самим узор на ногтях";;"NoP3cL-Xvfo";"15 способов как сделать узоры на ногтях в домашних условиях ...";"http://malimar.ru/uzory-na-nogtyah-v-domashnih-usloviyah/";"19 бер. 2017 - 2 хв - Автор відео Маникюрный Дом Простой узор на ногтях. Легкий дизайн ногтей своими руками. Оставайтесь с нами подписывайтесь на наш канал, ставим лайки, ...";"Рисунки на ногтях своими руками для новичков";"https://cosmetology-info.ru/6058/nails-Risunki-na-nogtyakh-v-domashnikh-usloviyakh/";"Чтобы научиться делать рисунки на ногтях для начинающих пошаговое иголкой ... Но, если Вы начинающий мастер для одного клиента (т.е. для самой ...";"Рисунки на ногтях иголкой: схемы для начинающих - Мой секрет";"https://mysekret.ru/nogti/risunki-na-nogtyax-igolkoj-kak-risovat-na-nogtyax-igolkoj.html";"17 фев 2017 ... Что нужно знать, чтобы сделать рисунок на ногти своими руками? ... Самым популярным считается лунный маникюр, чтобы его ..."
"E8C0A13B-0A6D-6656-8345-B3C28B1CAD63";"Как наносить гелевый лак";;"wA-c7VrxV4U";"Гель-лак. Технология нанесения | Ногтевой сервис";"http://nailstyling.ru/statyi/narashtivanie-nogtey/tehnologiya-naneseniya-gely-laka/";"При соблюдении правильной технологии нанесения гель-лак держится на ногтях до 20 дней. При этом не покрытие не теряет блеска, не трескается и ...";"Как правильно наносить гель-лак. Технология покрытия ногтей";"http://lak-gel.com/pokrytie-nogtej-gel-lakom-texnologiya-naneseniya/";"Пошаговая технология покрытия ногтей гель-лаком. Как правильно наносить гель-лак, почему образуются отслойки и трещины, как избежать ошибок.";"Технология нанесения гель лака Shellac | маникюр на дому";"https://www.krasotkapro.ru/faq/tekhnologiya_naneseniya_shellac.php";"Алгоритм технологии нанесения гель-лаков шеллак (shellac) на дому или в салоне. Видео о том, как правильно наносить шеллак."
"243516E7-B946-3939-3A56-2F5AF09D18ED";"Как наращивать ногти на ногах";;"EvlY0jHDEaI";"Как нарастить ногти на ногах для создания безупречного образа ...";"http://nogtipro.com/narashivanie/kak-narastit-nogti-na-nogah/";"Как нарастить ногти на ногах и какими материалами. Наращивают ли ногти на ногах только лишь с эстетической точки зрения или есть другие причины  ...";"Наращивание ногтей на ногах: фото идеального педикюра";"http://homemanicure.ru/nail-extension/narashhivanie-nogtej-na-nogakh.html";"Наращивание ногтей на ногах помогает решить проблему природной желтизны и несовершенной формы. Красивый педикюр – обязательный ...";"Наращивание ногтей на ногах гелем и акрилом в домашних ...";"https://womanmirror.ru/manikur-i-pedikur/narashhivanie-nogtej-na-nogax.html";"Наращивание ногтей на ногах уже давно стало стандартной процедурой, которую может получить каждая женщина, клиентка салона красоты."
