"GUID идентификатор элемента";"Название элемента";"Путь для раздела";"Адрес (youtube)";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1"
"F70C503F-23C1-8EDA-0489-BCF3622D22A3";"Как готовить джем из черной смородины";"kak-gotovit-dzhem-iz-chernoy-smorodiny";"DXHJXCLggyw";"Рецепт: Джем из черной смородины (горячий способ) на ...";"https://www.russianfood.com/recipes/recipe.php%3Frid%3D14429&sa=U&ved=0ahUKEwiFlb7QhIPcAhXGBSwKHdpWCfsQFgg2MAc&usg=AOvVaw38GyaYLwJhg8GYa";"Рецепты из черной смородины – это настоящая кладовая здоровья, поэтому советуем приготовить джем из черной смородины на зиму. В этом рецепте ...";"Рецепты джема из смородины на зиму, секреты - Женское мнение";"https://zhenskoe-mnenie.ru/themes/retsepty/dzhem-iz-smorodiny-na-zimu-dlia-vkusa-i-zdorovia-retsepty-raznykh-dzhemov-iz-krasnoi-i-chernoi-smorodiny-na-zimu/&sa=U&ved=0ahUKEwiFlb7QhIPcAhXGBSwKHdpWCfsQFgg7MAg&usg=AOvVaw1LLlcSMqfuyoLZG";"8 июл 2016 ... Джемы из смородины на зиму можно готовить самыми разными ... Для джемов можно использовать ягоды черной, белой и красной ...";"джем из черной смородины рецепт с фотографиями - Koolinar.ru";"https://www.koolinar.ru/recipe/view/59662&sa=U&ved=0ahUKEwiFlb7QhIPcAhXGBSwKHdpWCfsQFghCMAk&usg=AOvVaw2o32ffOQ-w4wtjg";"Фото к рецепту: джем из черной смородины. блинчики ... Как приготовить вкусные домашние чебуреки ... Попробую по Вашему рецепту сварить джем. 5.";"Джем из черной смородины - рецепт с фото | Чудо-Повар";"http://chudo-povar.com/dzhem-iz-chernoj-smorodiny-recept-chernosmorodinovogo-dzhema-s-foto.html&sa=U&ved=0ahUKEwiFlb7QhIPcAhXGBSwKHdpWCfsQFghIMAo&usg=AOvVaw3rvhDFobPz_-59P";"Джем из черной смородины, рецепт приготовления домашней заготовки джема на зиму, смородина с пектином варится быстрее, а джем полезнее и ..."
"9C0FEA21-1C21-4EAE-6882-F83CEAF58DBC";"Как готовить джем из красной смородины";"kak-gotovit-dzhem-iz-krasnoy-smorodiny";"m0MtuVZpmzQ";"Рецепт: Джем из красной смородины на RussianFood.com";"https://www.russianfood.com/recipes/recipe.php%3Frid%3D5355&sa=U&ved=0ahUKEwjc7-nbhIPcAhWM2ywKHeG1A1AQFggsMAQ&usg=AOvVaw3-6XH5AnERDmhQv";"Красная смородина - ягода очень полезная, содержит много железа и калия. Как приготовить джем из красной смородины? Рецепт такой.";"Джем из красной смородины: рецепт с фото - Smachno.ua";"https://smachno.ua/recepty/zagotovki/intermediates-15742/&sa=U&ved=0ahUKEwjc7-nbhIPcAhWM2ywKHeG1A1AQFggxMAU&usg=AOvVaw3rRiRXszGFBsy8R";"Пошаговый рецепт с фото, как приготовить джем из красной смородины.";"Желе из красной смородины на зиму - Фото-рецепты ...";"http://www.foto-recepti.ru/konservirovanie/recepty-varenja/216-zhele-iz-krasnoj-smorodiny-na-zimu.html&sa=U&ved=0ahUKEwjc7-nbhIPcAhWM2ywKHeG1A1AQFgg4MAY&usg=AOvVaw1qzVu1Mdw8f6-Lh";"1 кг красной смородины, 1 кг сахара, небольшая кружка воды. В разных сортах красной смородины разное содержание пектинов, поэтому желе по ...";"Как приготовить джем из красной смородины на зиму - Джем от ...";"https://www.1001eda.com/dzhem-iz-krasnoj-smorodiny&sa=U&ved=0ahUKEwjc7-nbhIPcAhWM2ywKHeG1A1AQFgg-MAc&usg=AOvVaw1mgb4-kaQVQcwoz";"10 июл 2015 ... Заготовьте на зиму этот ароматный, густой, красивый и невероятно вкусный джем из красной смородины! Особенно вкусен он с ..."
"A4A0A0F7-72C7-71AB-C134-39CDB9A65B74";"Как готовить джем из крыжовника";"kak-gotovit-dzhem-iz-kryzhovnika";"IxM1ZIq4p38";"Варенье, джем, конфитюр из крыжовника на Gastronom.ru";"https://www.gastronom.ru/recipe/group/2417/varene-dzhem-konfityur-iz-kryzhovnika&sa=U&ved=0ahUKEwjL6ojrhIPcAhUGiiwKHcmTAhMQFggpMAQ&usg=AOvVaw27GHcHvd9Fzm9K0";"Варенье из крыжовника пожалуй, самое популярное блюдо из этой ягоды. Известно, что его большой поклонницей была Екатерина Великая: в знак ...";"Рецепт: Джем из крыжовника на RussianFood.com";"https://www.russianfood.com/recipes/recipe.php%3Frid%3D46910&sa=U&ved=0ahUKEwjL6ojrhIPcAhUGiiwKHcmTAhMQFgguMAU&usg=AOvVaw3dGHpaxFkdjL5hr";"Рецепт: Джем из крыжовника. Как приготовить Джем из крыжовника? Версия для печати. Запомнить и поделиться рецептом с друзьями: Добавить в мою ...";"Джем из крыжовника и малины (крыжовник и черная смородина ...";"https://forum.say7.info/topic31402.html&sa=U&ved=0ahUKEwjL6ojrhIPcAhUGiiwKHcmTAhMQFggzMAY&usg=AOvVaw2AOGrZXH5pwJ2Tv";"Так же готовится джем из крыжовника с черной смородиной. Треть от веса крыжовника заменяю черной смородиной (700г крыжовника ...";"Как приготовить джем из крыжовника в домашних условиях ...";"http://suseky.com/dzhem-iz-kryzhovnika-kak-prigotovit-na-zimu/&sa=U&ved=0ahUKEwjL6ojrhIPcAhUGiiwKHcmTAhMQFgg6MAc&usg=AOvVaw3lcQFvPzaHlxRjY";"13 апр 2017 ... Что же готовят из крыжовника? Основные заготовки – это желе, варенья, джемы и повидла. Вкусный джем из крыжовника довольно ..."
"8E60A657-12F5-D8FF-8FA0-525391A1DEAF";"Как сделать джем малиновый";"kak-sdelat-dzhem-malinovyy";"azxuVBba69o";"Рецепт: Малиновый джем с крахмалом - все рецепты России";"http://allrecipes.ru/recept/12217/--------------------------.aspx&sa=U&ved=0ahUKEwjcv8n_hIPcAhXM3SwKHTSfD84QFggsMAU&usg=AOvVaw2g_YbVb_7egKGGX";"Рецепт очень простого вкусного джема из малины. Я его загущаю крахмалом , но его можно и не добавлять.";"Рецепт: Малиновый джем - все рецепты России - Allrecipes.ru";"http://allrecipes.ru/recept/12238/--------------.aspx&sa=U&ved=0ahUKEwjcv8n_hIPcAhXM3SwKHTSfD84QFggzMAY&usg=AOvVaw2s56GucwieawYyZ";"Рецепт малинового джема. Чтобы джем был гуще добавьте неспелых ягод, в них больше желирующего вещества.";"Как приготовить джем из малины - wikiHow";"https://ru.wikihow.com/%25D0%25BF%25D1%2580%25D0%25B8%25D0%25B3%25D0%25BE%25D1%2582%25D0%25BE%25D0%25B2%25D0%25B8%25D1%2582%25D1%258C-%25D0%25B4%25D0%25B6%25D0%25B5%25D0%25BC-%25D0%25B8%25D0%25B7-%25D0%25BC%25D0%25B0%25D0%25BB%25D0%25B8%25D0%25BD%25D1%258B&sa=U&ved=0ahUKEwjcv8n_hIPcAhXM3SwKHTSfD84QFgg6MAc&usg=AOvVaw0agNCVjPz2T8Eog";"Как приготовить джем из малины. Приготовить вкусный джем довольно просто, если вы будете его готовить с помощью этого метода. Фрукты хорошо ...";"Малиновый джем рецепт с фото - пошаговое приготовление ...";"https://delo-vcusa.ru/recept/malinovyj-dzhem-na-zimu/&sa=U&ved=0ahUKEwjcv8n_hIPcAhXM3SwKHTSfD84QFghAMAg&usg=AOvVaw2zETkhhtvfO1SWd";"Малиновый джем - рецепт приготовления малинового джема на зиму иллюстрированный детальной поэтапной инструкцией (13 фото). Попробуй - это ..."
"BA9D5175-F507-B14C-733B-010CC2016126";"Как сделать джем яблочный";"kak-sdelat-dzhem-yablochnyy";"sgDve5Kte00";"Яблочный джем, пошаговый рецепт с фото - Гастроном";"https://www.gastronom.ru/recipe/14796/yablochnyj-dzhem&sa=U&ved=0ahUKEwjQhKGKhYPcAhUHiKYKHUX2BtoQFggwMAY&usg=AOvVaw1nhXahTUUOYDtA5";"6 ноя 2011 ... Яблочный джем. Пошаговый рецепт с фото, удобный поиск рецептов на Gastronom.ru.";"Яблочный джем: рецепт простой с фото | Чудо-Повар";"http://chudo-povar.com/yablochnyj-dzhem-na-zimu-recept-dzhema-iz-yablok-s-foto.html&sa=U&ved=0ahUKEwjQhKGKhYPcAhUHiKYKHUX2BtoQFgg2MAc&usg=AOvVaw3ActH5_b8eACEOu";"Как приготовить яблочный джем в домашних условиях на зиму? Проще, чем Вы себе ... Ингредиенты для рецепта яблочного джема с корицей ... Как сделать джем из красной смородины в домашних условиях на зиму · джем из  ...";"Повидло, Блюда из яблок, рецепты с фото на RussianFood.com ...";"https://www.russianfood.com/recipes/bytype/%3Ffid%3D61,1230&sa=U&ved=0ahUKEwjQhKGKhYPcAhUHiKYKHUX2BtoQFgg9MAg&usg=AOvVaw3Kl6QsJCW9BzBiV";"Вот и давайте разберемся, как приготовить джем из яблок. яблоко, сахар, вода ... Что же еще сделать из яблок и груш?.. Правильно! Приготовить ...";"Яблочный джем - рецепт с фото, как приготовить в домашних ...";"http://xcook.info/recipe/jablochnyj-dzhem.html&sa=U&ved=0ahUKEwjQhKGKhYPcAhUHiKYKHUX2BtoQFghCMAk&usg=AOvVaw1YgtLKKnE-8cCgb";"Яблочный джем — один из самых популярных видов сладкой консервации на зиму. Все потому что яблоки у нас — это продукт общедоступный и ..."
"991EA3F9-E053-24AC-4923-8611589A6107";"Как сделать джем из груши";"kak-sdelat-dzhem-iz-grushi";"zzb9xdO9ziI";"Джем из груш: вкусная заготовка на зиму – как приготовить ...";"http://suseky.com/dzhem-iz-grush-vkusnaya-zagotovka-na-zimu/&sa=U&ved=0ahUKEwjh8ZuRhYPcAhVDCSwKHeaYCCcQFggzMAU&usg=AOvVaw24tfa48Wn8aq05R";"21 май 2017 ... Метки: Джем из груш. Когда в садах созревают груши, домохозяйки теряются в поисках различных рецептов их заготовок на зиму.";"Как приготовить джем из груши на зиму - Джем от 1001 ЕДА";"https://www.1001eda.com/grushevyj-dzhem&sa=U&ved=0ahUKEwjh8ZuRhYPcAhVDCSwKHeaYCCcQFgg5MAY&usg=AOvVaw3wMVYTURH0CUrW0";"А вы знаете, насколько вкусный грушевый джем? Приготовьте такой джем с очаровательным карамельным вкусом - вы удивите не только себя, но и ...";"Джем из груш: подробный рецепт с фото";"http://pomoshnica.info/dzhem-iz-grush-s-limonom_foto/&sa=U&ved=0ahUKEwjh8ZuRhYPcAhVDCSwKHeaYCCcQFgg_MAc&usg=AOvVaw0Sh0p10x8cj98Pq";"5 июл 2015 ... Самый вкусный на свете густой джем из груш с добавлением лимона. ... возле плиты и помешивать кипящий джем, но делать это надо.";"Как приготовить джем из груш на зиму: фото рецепт - Pokushay.Ru";"http://www.pokushay.ru/9705-kak-prigotovit-dzhem-iz-grush-na-zimu-foto-recept.html&sa=U&ved=0ahUKEwjh8ZuRhYPcAhVDCSwKHeaYCCcQFghGMAg&usg=AOvVaw2SkUrR-iioD-PuU";"Джем из грушОдна из необычных домашних заготовок на зиму – это джем из груш. По консистенции это что-то между вареньем и желе, а на вкус ..."
"2D8EBA39-9B2C-23DB-4C1A-D6CADF1E6F49";"Как сделать джем из брусники";"kak-sdelat-dzhem-iz-brusniki";"O72gUoB2FWY";"Джем из брусники рецепт, как приготовить на зиму на Webspoon.ru";"https://webspoon.ru/receipt/dzhem-iz-brusniki&sa=U&ved=0ahUKEwiY_v-RhYPcAhUQh6YKHQkyCQoQFggxMAU&usg=AOvVaw23yaUK7uWX63GAk";"Брусничный джем — отличное вкусное и красивое лакомство. Саму бруснику в сыром виде может есть не каждый, так как ягода немного терпкая. А вот...";"Джем из брусники - вкусный рецепт с пошаговым фото";"http://tvoirecepty.ru/recept/dzhem-iz-brusniki&sa=U&ved=0ahUKEwiY_v-RhYPcAhUQh6YKHQkyCQoQFgg7MAc&usg=AOvVaw0Eop-jq6h9xpKyg";"Пряный, полезный, зимний! Этот джем специально создан для того, чтобы согревать в холода и лечить при простудах.";"Как приготовить джем из брусники на зиму - Джем от 1001 ЕДА";"https://www.1001eda.com/brusnichnyj-dzhem&sa=U&ved=0ahUKEwiY_v-RhYPcAhUQh6YKHQkyCQoQFghAMAg&usg=AOvVaw3khj9oGpHyTMbZ4";"17 сен 2013 ... Джем из брусники, конечно, не настолько полезен, как свежие ягоды, но многие полезные вещества после тепловой обработки даже ...";"Как приготовить брусничный джем на зиму – пошаговый рецепт ...";"http://suseky.com/kak-prigotovit-brusnichnyj-dzhem/&sa=U&ved=0ahUKEwiY_v-RhYPcAhUQh6YKHQkyCQoQFghHMAk&usg=AOvVaw0CeYiiVKuc5WlEi";"18 апр 2017 ... Джем из брусники приготовить легко. Сложно перебрать ягоды, ведь они очень мелкие и нежные, но всё же, оно того стоит."
"26C6476F-F66A-0E5C-7337-8039030BEB6E";"Как приготовить джем в хлебопечке";"kak-prigotovit-dzhem-v-hlebopechke";"4z8nU12txXA";"Яблочный джем в хлебопечке, в домашних условиях | ХозОбоз ...";"https://hozoboz.com/recepty/yablochnyj-dzhem-v-xlebopechke-v-domashnix-usloviyax/&sa=U&ved=0ahUKEwjyiteehYPcAhWJkywKHTNnBWEQFgg6MAc&usg=AOvVaw31JIL4EimYvgEEN";"Чем четче мы будем выполнять требования рецепта, тем вкуснее получится яблочный джем в хлебопечке. Следите за ...";"Джем в хлебопечке - Страна Советов";"http://strana-sovetov.com/recipes/desserts/6362-dzhem-v-khlebopechke.html&sa=U&ved=0ahUKEwjyiteehYPcAhWJkywKHTNnBWEQFghBMAg&usg=AOvVaw0VRELqmh5RjsT2D";"Приготовить джем в хлебопечке совсем просто: достаточно подготовить продукты (фрукты или ягоды, сахар, лимонный сок или кислоту), загрузить их в ...";"Рецепт варенья в хлебопечке - Моя хлебопечка";"http://www.hlebopechka.net/h17.php&sa=U&ved=0ahUKEwjyiteehYPcAhWJkywKHTNnBWEQFghHMAk&usg=AOvVaw2k4zcRfkUvdRkwL";"Полезные советы при приготовлении варенья в хлебопечке: ... Готовила яблочный джем, получился очень густой, для начинки в выпечку то что надо."
"9E43C40F-AD72-9FE8-3205-58C3D8102AE4";"Как готовить клубничный джем";"kak-gotovit-klubnichnyy-dzhem";"Ys9Vnu_pR40";"Клубничный джем рецепт с фото пошаговый | Едим Дома ...";"https://www.edimdoma.ru/retsepty/74952-klubnichnyy-dzhem&sa=U&ved=0ahUKEwiJtuirhYPcAhXBfiwKHZxTCIkQFgg4MAY&usg=AOvVaw37nIc42qTWVhR5Y";"Рецепт приготовления Клубничный джем, готовим вкусно и полезно рецепт с фото на сайте EdimDoma; Рецепты бабушкины, варенье и джем, варить, ...";"Клубничный джем: рецепт пошаговый - Smachno.ua";"https://smachno.ua/posts/vse-bude-smachno/klubnichnyj-dzhem-retsept-pyatiminutka/&sa=U&ved=0ahUKEwiJtuirhYPcAhXBfiwKHZxTCIkQFgg_MAc&usg=AOvVaw15g5cce5qNYWjoF";"Пошаговый рецепт джема из клубники вы найдете в нашем материале. Попробуйте приготовить наш клубничный джем, и вы справитесь за 5 минут!";"Рецепт: Джем из клубники - все рецепты России - Allrecipes.ru";"http://allrecipes.ru/recept/12212/----------------.aspx&sa=U&ved=0ahUKEwiJtuirhYPcAhXBfiwKHZxTCIkQFghEMAg&usg=AOvVaw3HrR3-bRW59p4yz";"Простой рецепт джема из клубники. Этот джем называется "Пятиминутка", потому что варится 3 раза по 5 минут. Получается очень вкусный джем, ...";"Джем из клубники пошаговый рецепт (13 фото) - Дело Вкуса";"https://delo-vcusa.ru/recept/dzhem-iz-klubniki/&sa=U&ved=0ahUKEwiJtuirhYPcAhXBfiwKHZxTCIkQFghLMAk&usg=AOvVaw356LDO6XuMNhzSn";"Джем из клубники - рецепт приготовления иллюстрированный детальной поэтапной ... Кстати, можно приготовить клубничный джем с апельсином."
"B67241F3-F857-0952-5B4A-9D51209C7DA5";"Как сделать джем из черной смородины";"kak-sdelat-dzhem-iz-chernoy-smorodiny";"mRzjnhDALnk";"Рецепт: Джем из черной смородины (горячий способ) на ...";"https://www.russianfood.com/recipes/recipe.php%3Frid%3D14429&sa=U&ved=0ahUKEwiFs_i5hYPcAhWBhiwKHTL5DZkQFggpMAQ&usg=AOvVaw17i5w311KlOnlP-";"Рецепты из черной смородины – это настоящая кладовая здоровья, поэтому советуем приготовить джем из черной смородины на зиму. В этом рецепте ...";"Джем из чёрной смородины, рецепты на зиму. - Хозяйка усадьбы";"https://olgushka1971.ru/domashnie-zagotovki/dzhem-iz-chyornoj-smorodiny-retsept-na-zimu&sa=U&ved=0ahUKEwiFs_i5hYPcAhWBhiwKHTL5DZkQFgguMAU&usg=AOvVaw2TcJIWZHH9yVx_c";"6 май 2016 ... Эта ягода настоящая чемпионка по содержанию всевозможных витаминов, поэтому заготовки из неё каждая хозяйка старается сделать ...";"Джем-желе из черной смородины : Варенье - Форумы SAY7";"https://forum.say7.info/topic57913.html&sa=U&ved=0ahUKEwiFs_i5hYPcAhWBhiwKHTL5DZkQFgg0MAY&usg=AOvVaw2IEKC9tlUNLcf1S";"Джем действительно очень отличается от варенья из черной смородины, которую многие не любят. В этом году попробую сделать по ...";"Желе из черной смородины - AmAMaM.ru";"http://amamam.ru/zhele-iz-chernoj-smorodiny/&sa=U&ved=0ahUKEwiFs_i5hYPcAhWBhiwKHTL5DZkQFgg-MAc&usg=AOvVaw1ShYs5gvncbIyq0";"Такое варенье из смородины очень любят у нас дома и мы варим его уже несколько десятилетий. Готовить желе из черной смородины довольно ..."
