"GUID идентификатор элемента";"Название элемента";"Путь для раздела";"Адрес (youtube)";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1";
"1DBA275F-28F1-A8E1-17EF-F8D65E221DC6";"Морковь: как сохранить ее свежей";"kak-hranit-morkov";"https://www.youtube.com/watch?v=Xr0lslyvaWk&sa=U&ved=0ahUKEwiz86jos8PXAhWKD8AKHWATCt8QtwIIFjAA&usg=AOvVaw1PLz9GZdxB-eY7MQDx9RZx";"Как хранить морковь зимой в погребе: 8 лучших способов";"null";"Просушивать морковь нужно до момента ее закладки в погреб на .... размножаться и позволит длительное время сохранить морковь свежей и вкусной.";"Как правильно хранить морковь: все способы хранения - Дачные ...";"null";"Сохранить морковь свежей до весны труднее всего. ... достаточное количество сахаров, что отрицательно сказывается на ее вкусовых качествах.";"Как хранить морковь до нового урожая";"null";"2 окт 2012 ... Читайте здесь о том, как хранить морковь и когда ее убирать. ... Советую, уважаемые читатели, получать свежие статьи на e-mail ...";"Морковь в песке: как правильно хранить зимой - Kustroz.ru";"null";"Как известно всем любителям огородничества, сохранить морковь холодной и длинной ... Многие старались решить эту проблему, храня ее в погребах, ...";
"F00A6B7C-1A5C-C2F5-3B22-E776F3ADF79E";"Как продавать земельные участки";"kak-prodavat-zemelnye-uchastki";"https://www.youtube.com/watch?v=3SC4gLUF4W0&sa=U&ved=0ahUKEwiLwvOCtMPXAhWLB8AKHXPzCu4QtwIIFDAA&usg=AOvVaw1nN53Af0MyjORYtpVUwbSr";"Как быстро и выгодно продать земельный участок";"null";"";"Как быстро продать земельный участок? | Благовест";"null";"26 авг 2016 ... Поэтому без основательного знания рынка и законодательной базы быстро продать земельный участок не получится. В случае, если ...";"Как продать земельный участок: инструкция, документы + договор";"null";"11 янв 2017 ... Как продать земельный участок самостоятельно - пошаговая инструкция по продаже, список всех документов и процесс заключения ...";"Как быстро и выгодно продать земельный участок";"null";"Покупка-продажа недвижимости, как правило, не терпит спешки. Однако исключения бывают всегда. Если вам требуется продать земельный участок  ...";
"95C1752D-7A22-37FD-77C3-4778F953413C";"Как посадить хмель";"kak-posadit-hmel";"https://www.youtube.com/watch?v=WkF3ad4ZGOA&sa=U&ved=0ahUKEwit4-aXtMPXAhVsL8AKHTRaARcQtwIIFjAA&usg=AOvVaw25EFv5WyiwYULI07tsCLCC";"Как вырастить хмель для пивоварения - wikiHow";"null";"";"Хмель: виды и сорта, посадка, уход";"null";"26 окт 2013 ... У многих хмель ассоциируется в первую очередь с пивом. Но при этом далеко не все знают, как этот самый хмель. ... Юрий Фатуев: Знакомый мечтает от него избавиться, посадил сдуру несколько лет назад.";"Хмель: размещение, размножение, уход на Supersadovnik.ru";"null";"2 дек 2008 ... Это нужно учитывать, если вы планируете посадить растение возле ... на каком расстояние нужно посадить хмель от дома??? Гость 29 ...";"Как вырастить хмель самостоятельно на балконе или грядке";"null";"28 дек 2014 ... Содержание: Описание и полезные свойства хмеля Уход за хмелем Размножение хмеля Описание и полезные свойства хмеля Хмель ...";
"72D3C4C0-39FD-E13A-1471-E54BCB126B22";"Как поливать бонсай";"kak-polivat-bonsay";"CX-iFqlIXNU";"Полив бонсай - Клуб Бонсай";"null";"Правильный полив дерева бонсай настолько же важен, как и температура и достаточное количество света. Разным видам бонсай необходимо разное ...";"Как поливать бонсай. Советы и рекомендации по поливу ...";"null";"21 май 2012 ... Уход за бонсай может отличаться. приведены некоторые советы по водному режиму. советы по поливу бонсай подойдут большинству ...";"КАК ПОЛИВАТЬ БОНСАЙ ЗИМОЙ? ЕСТЬ ОТВЕТ! - YouTube";"null";"15 груд. 2015 - 2 хв - Автор відео Master Bonsai Видео про полив бонсай зимой (зимовка) ... ЕСТЬ ОТВЕТ! Master Bonsai. Loading... Unsubscribe from Master Bonsai? Cancel ...";"Уход за бонсай (полив, уход за кроной, освещение, подкормка ...";"null";"Успех при выращивании бонсай в первую очередь зависит от правильного полива.";
"6C0F14E0-DDBE-9AE5-9F77-4D31AA3B0FEC";"Как хранить малину";"kak-hranit-malinu";"4vFtCyMPkTg";"II. КАК ХРАНИТЬ МАЛИНУ / Все об обычной малине - Nnre.ru";"null";"КАК ХРАНИТЬ МАЛИНУ. СВЕЖАЯ МАЛИНА. Прежде всего, конечно же, несколько слов о том, как правильно хранить свежую, недавно сорванную с ...";"Как хранить малину в домашних условиях. Хранение свежих ягод ...";"null";"Как хранить малину. Малина Сладкая ягода малина обладает ярким вкусом и приятным запахом. Ее можно употреблять в свежем и замороженном виде ...";"Как и сколько хранить малину | Как хранить протертую малину с ...";"null";"Во все времена малина считалась целебной ягодой. Народная медицина часто использует малину в лечебных целях. Но малина издавна ...";"Как сохранить собранную малину - DELFI";"null";"Как сохранить собранную малину. 26 августа 2011, 10:52. 1 комментарий. AppleMark Foto: F64. Greenrussia.ru. Ранняя малина появляется в середине ...";
"22201F4E-ED56-3FBD-FE93-7BD93B8B7D67";"Как выращивать ежевику";"kak-vyrashchivat-ezheviku";"Hg6Tgx1a3RI";"Как посадить ежевику правильно? - ОгородСадовод.ком";"null";"Ежевика пока еще не столь популярна среди садоводов, как ее ближайшая родственница – малина. Однако полезные свойства этой ягоды ...";"Посадка и выращивание ежевики -GreenMarket";"null";"18 мар 2016 ... Ежевика превосходит малину по урожайности в 2-3 раза при этом менее требовательна к ... Как выращивать ежевику по правилам?";"Как правильно сажать ежевику. Уход за ежевикой - YouTube";"null";"25 лип. 2014 - 6 хв - Автор відео Садовый центр Greensad (Гринсад) Если Вы хотите приобрести саженец ежевики, то это можно сделать з. ... Лучше выращивать дикую ежевику или все таки новые сорта?";"Выращивание ежевики - YouTube";"null";"22 вер. 2011 - 9 хв - Автор відео Максим Олегович Выращивание ежевики,посадка ,подкормка ,подрезка и многое ... Ну хоть один товарищ объяснил всё досконально о выращивании и ...";
"191A4A11-3EE1-26DF-68BB-799F836EDE53";"Как вырастить облепиху";"kak-vyrastit-oblepihu";"0sZJu1fojm4";"Облепиха: посадка, выращивание, уход";"null";"18 июн 2013 ... До недавнего времени моя оценка облепихи была невысока: ну очень колючая, ягоды ... Выбрать, посадить и вырастить облепиху 6.";"ПОСАДКА И ВЫРАЩИВАНИЕ ОБЛЕПИХИ .Уход за облепихой ...";"null";"Облепиха - двудомное растение , то есть на одних кустах вырастают женские цветы, из которых образуются плоды, на других - мужские , пыльца ...";"Облепиха: посадка и выращивание - Gardenia.ru";"null";"Облепиха способна ежегодно давать высокие урожаи крупных и вкусных ягод . ... Кроме того, облепиха в зрелом возрасте даёт обильную корневую ...";"Секреты и тонкости выращивания облепихи - YouTube";"null";"25 січ. 2015 - 26 хв - Автор відео Полезное Видео В последние годы выращивание облепихи всё больше и больше привлекает к себе внимание садоводов-любителей. Для выращивания ...";
"BC4686EB-80AB-70BF-B45B-07440C52283F";"Как вырастить кумкват";"kak-vyrastit-kumkvat";"KTNXbxl8p_Q";"Как вырастить кумкват из косточки в домашних ... - Onwomen.ru";"null";"Как вырастить кумкват из косточки. 1 Подготовка к посадке; 2 Тонкости посева семян; 3 Пикировка и пересадка; 4 Полив и подкормки; 5 Уход за ...";"Кумкват - Все о комнатных цитрусовых культурах, как вырастить ...";"null";"Все о цитрусовых, Кинкан часто привлекают к гибридизации, известны его естественные и искусственные межродовые и межвидовые гибриды с ...";"Как вырастить кумкват из косточки: уход - Udec.ru";"null";"Как вырастить кумкват? Одним из самых распространенных способов размножения данной культуры является выращивание из косточки (семени).";"Кумкват (фото) - посадка и уход в домашних условиях | Сайт о ...";"null";"25 ноя 2013 ... Как выращивать кумкват в домашних условиях Здравствуйте, недавно в цветочном магазине.";
"D9698089-FCE1-895C-84D1-30946AFF52C4";"Как заложить сад";"kak-zalozhit-sad";"y38hSeVyNmY";"Как правильно Заложить сад И Ягодники. Пропорция ... - YouTube";"null";"1 лис. 2016 - 49 хв - Автор відео Маэстро Мажор чего и сколько посадить на вашем дачном участке, чтобы собирать собственные ягоды и фрукты. советы начинающим садоводам.";"Как заложить сад на земельном участке с пахотными землями?";"null";"16 сен 2015 ... Например, если Ваш земельный участок по составу угодий является пашней, а Вы хотите заложить на нем сад, необходимо ...";"Как заложить здоровый сад? на Supersadovnik.ru";"null";"2 апр 2008 ... Специалисты не устают искать все новые технологии посадки плодовых деревьев и ухода за ними, которые помогли бы им ...";"Как заложить сад для семьи на даче | Сад 365";"null";"Советы как правильно спланировать и заложить сад - подобрать плодовые деревья, место под них, какие сорта выбрать, как посадить...";
"09E35D13-20CB-919A-C595-76CE501D1D34";"Как вырастить барбарис";"kak-vyrastit-barbaris";"K_OHWUsSGdQ";"Барбарис - посадка и уход, полезные свойства барбариса. Часть 1";"null";"Во первых заметим что барбарис это весьма ... поэтому его можно попытаться выращивать почти ...";"Кустарник барбарис – посадка и уход: фото брабариса ...";"null";"20 авг 2015 ... Так что, один раз выучив инструкцию по уходу за барбарисом, можно выращивать барбарис в саду различных сортов, видов и форм.";"Барбарис: выращивание и размножение - GreenInfo.ru";"null";"Об ассортименте видов и сортов барбариса читайте на странице Барбарис. При выборе места для барбариса нужно найти открытый солнечный ...";"Выращиваем барбарис и изучаем особенности его посадки и ...";"null";"Неприхотливый барбарис, посадка и уход за которым не требуют особых усилий, - лучший кустарник для озеленения придворовой территории.";
