GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
D5E69746-A5B8-5AAE-A9A6-00F4AE6D816E;Как похудеть быстро и эффективно;kak-pohudet-bystro-i-effektivno;;;;;;;;;;
8B418DD5-4002-FFAE-656E-3B412E3D28FC;Как соблюдать диету для восстановления микрофлоры кишечника;kak-soblyudat-dietu-dlya-vosstanovleniya-mikroflory-kishechnika;;;;;;;;;;
592016AE-6183-8A87-3C0E-F31EBAC035C2;Как снизить вязкость крови;kak-snizit-vyazkost-krovi;gFU8oemU9Kw;;;;;;;;;
0512C477-E633-DD33-1FD9-91E167BA8B41;Какие продукты сжигают жир;kakie-produkty-szhigayut-zhir;JtUYTVgGJBQ;;;;;;;;;
699B83E1-A846-5336-2E8E-052BD6BBBF77;Как похудеть за неделю на 5 кг;kak-pohudet-za-nedelyu-na-5-kg;;;;;;;;;;
31F0F1DA-AE88-8323-18B8-450B044C7A60;Как настроить себя психологически на похудение в 2018 году;kak-nastroit-sebya-psihologicheski-na-pohudenie;;;;;;;;;;
DF8F8B8E-3BD7-0AC4-AD9A-70E524A63552;Диета к лету без неприятных последствий;dieta-k-letu-bez-nepriyatnyh-posledstviy;;;;;;;;;;
B92F1BE2-CA59-85BD-11D9-3A183795D415;Как избавиться от холестерина;kak-izbavitsya-ot-holesterina;7H35RjGtf-k;;;;;;;;;
144B9865-BA17-B1C9-E578-8E09138DF227;Как укрепить желудок с помощью питания;kak-ukrepit-zheludok-s-pomoshchyu-pitaniya;RpjxvZN-KwY;;;;;;;;;
BF1973C8-AD5E-A73E-4253-9EA905C320D9;Как узнать, сколько калорий нужно в день;kak-uznat-skolko-kaloriy-nuzhno-v-den;;;;;;;;;;
8EB614F9-AB02-4822-B362-05491A8C415E;Как нужно питаться, чтобы набрать вес;kak-nuzhno-pitatsya-chtoby-nabrat-ves;bcS-A2svBrw;;;;;;;;;
3658D6D1-411A-6C9F-A1AB-8790AF926ACE;Как худеть и не испытывать чувство голода;kak-hudet-i-ne-ispytyvat-chuvstvo-goloda;gBiMl3P6V_M;;;;;;;;;
08C961AF-ACA0-3F79-E841-7F53BB98546E;Какие продукты употреблять при пониженном гемоглобине;kakie-produkty-upotreblyat-pri-ponizhennom-gemoglobine;;;;;;;;;;
444EB13C-E024-2A8F-06FE-E3E0F3880040;Как понизить мочевую кислоту в крови;kak-ponizit-mochevuyu-kislotu-v-krovi;NuiUdeJNQXg;;;;;;;;;
46A35FD8-0C61-9ED9-6BE7-A140A3E425C8;Какой должен быть гемоглобин в норме;kakoy-dolzhen-byt-gemoglobin-v-norme;h_uxavmyd-Q;;;;;;;;;
F15E6F2A-1A64-BA62-9412-43B209203022;Как провести шоколадный разгрузочный день;kak-provesti-shokoladnyy-razgruzochnyy-den;;;;;;;;;;
AB7478AA-160A-C1F4-3046-E0CC1C65AEAC;Как питаться при повышенной кислотности желудка;kak-pitatsya-pri-povyshennoy-kislotnosti-zheludka;YJjoc_CMthQ;;;;;;;;;
D6C9A167-69DF-0BD0-B16C-A57C9CDBA9BD;Как худеть по методу Борменталя;kak-hudet-po-metodu-bormentalya;xwoAS5Xms4k;;;;;;;;;
6800AAF6-BBB4-9206-2A04-153E62354992;Как похудеть весной;kak-pohudet-vesnoy;uTl4iSWrmSE;;;;;;;;;
45F3942F-E204-190C-D301-A5AD6DE5DF9E;Как похудеть и не набрать вес снова;kak-pohudet-i-ne-nabrat-ves-snova;tNA4BSGsToc;;;;;;;;;
7C877E6F-0428-FAFF-008D-06119F62C611;Как набрать 5 кг за неделю;kak-nabrat-5-kg-za-nedelyu;;;;;;;;;;
0619C2EC-EB51-5919-FB3C-E8841FEB97EA;Диета Юлии Куварзиной;dieta-yulii-kuvarzinoy;wqQ4sRnpu74;;;;;;;;;
0B369BDA-9500-8C72-C0FD-2A0D221CEF7E;Что нужно есть после перелома;chto-nuzhno-est-posle-pereloma;;;;;;;;;;
2283EA3C-A5CA-0645-EA22-56F2461D8ADF;Как есть грейпфрут, чтобы похудеть;kak-est-greypfrut-chtoby-pohudet;NzSe-SiKc14;;;;;;;;;
1B0FE080-6B61-2AC8-1393-895540B2594D;Отзывы об арбузной диете;otzyvy-ob-arbuznoy-diete;;;;;;;;;;
71C739BF-F7CC-D619-6EF0-092F11008981;Худеем к лету правильно!;hudeem-k-letu-pravilno-;;;;;;;;;;
7EB5BC2F-0839-052A-6FCF-7331E4FEF93E;Что нужно есть при анемии;chto-nuzhno-est-pri-anemii;;;;;;;;;;
9639F1F1-628C-1BCD-C024-D2538A825C24;Что будет, если не есть сахар;chto-budet-esli-ne-est-sahar;;;;;;;;;;
76CA0381-BDD0-324A-8AD8-B01F4AFD1CBC;Диета перед свадьбой;dieta-pered-svadboy;;;;;;;;;;
F5500682-20D8-C159-27EC-0B7247471792;Какие бывают диеты для похудения живота;kakie-byvayut-diety-dlya-pohudeniya-zhivota;;;;;;;;;;
F5B6595B-A378-7A92-D501-4B8CA0B32F73;Как похудеть женщине после 40 лет;kak-pohudet-zhenshchine-posle-40-let;P3ioC5X_teg;;;;;;;;;
D0FDC953-6D15-5F53-6BB4-3BDC82C33545;Как похудеть, правильно питаясь;kak-pohudet-pravilno-pitayas;;;;;;;;;;
0C341D03-E1CF-6CE3-DB07-1B85588BCA24;Как нужно есть, чтобы похудеть;kak-nuzhno-est-chtoby-pohudet;;;;;;;;;;
4416A537-546B-5E50-0E24-9F698A78FA7A;Как притупить чувство голода;kak-pritupit-chuvstvo-goloda;;;;;;;;;;
97A6C757-4A1F-298E-3065-39288FA52AE5;Как лучше вывести холестерин;kak-luchshe-vyvesti-holesterin;;;;;;;;;;
CEB16668-AE8A-3167-96CD-819B6538AC93;Как измерить уровень холестерина;kak-izmerit-uroven-holesterina;;;;;;;;;;
11909A50-5CC8-21D4-18B0-F700A0453D2A;Как похудеть при помощи имбиря;kak-pohudet-pri-pomoshchi-imbirya;ouTL6Z077u0;;;;;;;;;
362A5FF5-0E9A-0A67-3770-DCEA8C3463B8;Как похудеть за неделю на 7 килограмм;kak-pohudet-za-nedelyu-na-7-kilogramm-;;;;;;;;;;
7CC0F3B9-AC59-F7CB-0C1A-58EDFD4E9171;Интересные факты о перце чили;interesnye-fakty-o-perce-chili;;;;;;;;;;
57C8A24F-A78C-D379-ED40-1BF69BE9DD82;Как питаться весной, чтобы похудеть;kak-pitatsya-vesnoy-chtoby-pohudet;;;;;;;;;;
DBB27342-A457-50B1-FBD9-9B8F85DDA28D;Имбирь для похудения &ndash; результат гарантирован;imbir-dlya-pohudeniya---rezultat-garantirovan;;;;;;;;;;
0FE1606C-B633-B9D6-446B-CC77A56288BE;Как похудеть после гормональных средств;kak-pohudet-posle-gormonalnyh-sredstv;;;;;;;;;;
DB8C6485-B1F3-44E6-3227-9AC675012701;Как похудеть на 7 кг за две недели;kak-pohudet-na-7-kg-za-dve-nedeli;;;;;;;;;;
DA0D4367-A267-44B8-7C2A-7B011EB51A9B;Что нельзя и что можно есть после аппендицита;chto-nelzya-i-chto-mozhno-est-posle-appendicita;;;;;;;;;;
E554AA2D-755F-A94B-79B7-62D55AD65665;Рисовые лепешки в диетическом питании;risovye-lepeshki-v-dieticheskom-pitanii;;;;;;;;;;
3FC384CB-6BFF-9E7D-909E-4C8C56E64BF1;Диета для почтенного возраста;dieta-dlya-pochtennogo-vozrasta;;;;;;;;;;
406718E6-FA10-8981-F411-4975C2F9354A;Что надо есть, чтобы было много спермы;chto-nado-est-chtoby-bylo-mnogo-spermy;;;;;;;;;;
9126D421-0939-EC7E-C23F-1981AACCE48C;Какие продукты вредны при заболеваниях печени;kakie-produkty-vredny-pri-zabolevaniyah-pecheni;;;;;;;;;;
1F87C0B4-261E-6C9F-1216-832A10DA3B66;Диета после операции по удалению пупочной грыжи;dieta-posle-operacii-po-udaleniyu-pupochnoy-gryzhi;2FWh46QBWC0;;;;;;;;;
89132E39-9400-C66B-4D93-F7134EF62F8F;Какие продукты помогают разжижению крови;kakie-produkty-pomogayut-razzhizheniyu-krovi;;;;;;;;;;
D7B58FFC-6492-3C9E-347B-1E74C9CDD5D1;Почему полнеют ноги;pochemu-polneyut-nogi;haUKFWXwVcg;;;;;;;;;
F0F08822-3AFC-DE70-0043-3DBDE7B07554;Ощелачивание организма. Принципы здорового тела;oschelachivanie-organizma-principy-zdorovogo-tela;AeZeeYVpKmA;;;;;;;;;
4C49C749-B755-D0D2-C76D-7449E2C1C425;Диета после операции по удалению кисты яичника;dieta-posle-operacii-po-udaleniyu-kisty-yaichnika;;;;;;;;;;
D215E389-1117-8E6B-15FE-57B4F4F722F2;Полезно ли голодать один день в неделю;polezno-li-golodat-odin-den-v-nedelyu;;;;;;;;;;
2BD57B7B-2466-3BA9-6DCB-66003DD6CBA2;Как употреблять отруби для похудения;kak-upotreblyat-otrubi-dlya-pohudeniya;;;;;;;;;;
D6D3CF4C-C6FF-50A0-2111-44D5E4DCEE18;Как похудеть в животе;kak-pohudet-v-zhivote;PQ6bYYDBEVY;;;;;;;;;
