"GUID идентификатор элемента";"Название элемента";"Путь для раздела";"Адрес (youtube)";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1"
"CBD2D401-982C-4617-6AA2-60E97EC137F6";"Как сделать новогодние шары";"kak-sdelat-novogodnie-shary";"B8opLlEpEBk";"Новогодние шары своими руками: мастерим елочные украшения ...";"http://nacrestike.ru/publ/interesnoe/novogodnie_shary_svoimi_rukami/10-1-0-1047&sa=U&ved=0ahUKEwjWsuury-3XAhWBhOAKHSh9CBUQFggvMAg&usg=AOvVaw1lytlFWTtUnu6-S";"К тому же если у вас есть время и желание, вы без труда сделаете свою необычную новогоднюю игрушку, а мы покажем вам несколько способов того, как можно сделать новогодний шар своими руками. Для начала оговоримся что для того чтобы сделать новогодний шар вам понадобится основа: это может ...";"Мастер класс как сделать новогодние шары своими руками ...";"http://bountymax.ru/290-master-klass-kak-sdelat-novogodnie-shary-svoimi-rukami-rospis-dekupazh-ukrashenie-novogodnih-sharov.html&sa=U&ved=0ahUKEwjWsuury-3XAhWBhOAKHSh9CBUQFgg6MAk&usg=AOvVaw1TDYnDTsYs3wQvo";"21 окт 2013 - 3 мин. - Добавлено пользователем TheArixes Декор шарикa из пенопласта. Прастой, красивый шарик своими руками- шаг за шагом. Мастер-класс.";"Ёлочные игрушки своими руками - Сайт happynewyear2013!";"https://happynewyear2013.jimdo.com/%25D0%25B3%25D0%25BB%25D0%25B0%25D0%25B2%25D0%25BD%25D0%25B0%25D1%258F/%25D0%25BD%25D0%25BE%25D0%25B2%25D1%258B%25D0%25B9-%25D0%25B3%25D0%25BE%25D0%25B4/%25D0%25B5%25D0%25BB%25D0%25BE%25D1%2587%25D0%25BD%25D1%258B%25D0%25B5-%25D0%25B8%25D0%25B3%25D1%2580%25D1%2583%25D1%2588%25D0%25BA%25D0%25B8-%25D1%2581%25D0%25B2%25D0%25BE%25D0%25B8%25D0%25BC%25D0%25B8-%25D1%2580%25D1%2583%25D0%25BA%25D0%25B0%25D0%25BC%25D0%25B8/&sa=U&ved=0ahUKEwjWsuury-3XAhWBhOAKHSh9CBUQFghMMA0&usg=AOvVaw3bgZtSpHkDUYyti";"Ёлочные шары новогодние. Игрушки на елку. Как сделать новогодний шар, схемы и фото. Изготовление новогодних елочных шаров своими руками из бумаги и из ниток. Новогодние поделки для детей. Новогодние украшения в виде шаров для дома.";"Шары ёлочные новогодние. Игрушки на елку своими руками.";"http://adalin.mospsy.ru/ny/eligr02.shtml&sa=U&ved=0ahUKEwjWsuury-3XAhWBhOAKHSh9CBUQFghSMA4&usg=AOvVaw3ZUt2aVRvYghcgo";"Новогодние шары, звёздочки, ангелочков и ещё массу других ёлочных игрушек можно не только купить в магазине, но и изготовить своими руками. ... и успехов в Новом году! Интересуют готовые подарки на Новый год? Или ищете больше мастер-классов чтобы научиться делать подарки своими руками?"
"4101E276-20C2-91B3-F21C-EB677C9681C8";"Как накрывать на стол на Новый год";"kak-nakryvat-na-stol-na-novyy-god";"UhxAloCtxfI";"Как накрыть стол на Новый 2018 год | украшение новогоднего ...";"http://2018god.net/kak-nakryt-stol-na-novyj-2018-god/&sa=U&ved=0ahUKEwiMqfSxy-3XAhXPRN8KHT-jC4cQFggzMAg&usg=AOvVaw0igh0XQ3VXqrQnx";"В преддверии нового 2017 года хозяйки поглощены заботой о том, что приготовить на новый год, как накрыть новогодний стол, чтобы порадовать покровителя года по восточному гороскопу – Петуха. Новогодний стол должен быть в простоте, без излишеств особенных, но сытным, ведь петух отличается ...";"Что приготовить на новый год 2017: новые блюда на год петуха ...";"https://klub-drug.ru/prazdniki/god-novyj/blyuda-chto-prigotovit-foto.html&sa=U&ved=0ahUKEwiMqfSxy-3XAhXPRN8KHT-jC4cQFgg5MAk&usg=AOvVaw2NhPQOajt5H0VG3";"15 фев 2017 ... Новый год 2018, что приготовить на стол в год Собаки. Каждая хозяйка стремится к Новому году приготовить отменный праздничный ужин и сервировать великолепный стол. Как приготовить и накрыть идеальный торжественный ужин в новогоднюю ночь 2018?";"Новый год 2018 что готовить, что должно быть на столе в год ...";"http://bebiklad.ru/7-ratsion-pitaniya/novyiy-god-2018-chto-gotovit-chto-dolzhno-byit-na-stole-v-god-sobaki&sa=U&ved=0ahUKEwiMqfSxy-3XAhXPRN8KHT-jC4cQFgg_MAo&usg=AOvVaw25VwGg_vFVcSMwE";"1 мар 2016 ... Замечательным решением в украшении и сервировке стола на Новый год Огненного Петуха будет накрыть стол в деревенском стиле. С помощью льняных скатертей и салфеток, деревянных плетеных корзинок, фруктовых и овощных композиций, а также красивых букетов из колосков ...";"Что должно быть на столе на Новый год 2017 - 2017 год Петуха";"http://god2017.com/novogodnij-stol/chto-dolzhno-byt-na-novogodnem-stole-2017&sa=U&ved=0ahUKEwiMqfSxy-3XAhXPRN8KHT-jC4cQFghFMAs&usg=AOvVaw1VSAKSpJTONj9yx";"Подберите такие праздничные яства, которые не оскорбят наступающий Новый год гастрономическими шедеврами хозяйки. Фен шуй требует умиротворения и гармонии: поставьте на новогодний стол те блюда, которые предпочитает животное. Кролик обожает свежую зелень и капусту, корова и коза ..."
"03DDE414-C78E-9EAA-223D-60D7CF767116";"Как украсить к Новому году класс";"kak-ukrasit-k-novomu-godu-klass";"OoOSnj0cBmA";"Как украсить класс на новый год своими руками - картинки ...";"http://shkolabuduschego.ru/school/kak-originalno-ukrasit-klass-v-preddverii-novogo.html&sa=U&ved=0ahUKEwjIl4G0y-3XAhWrkOAKHWpaAIAQFggtMAY&usg=AOvVaw36pNo7Rte6_qKYD";"Чтобы создать атмосферу праздника, необходимо украсить класс и школу в целом. Во многих школах украшают под новый год не только классы, но и фойе, окна, коридоры и даже пришкольную территорию. Готовые новогодние украшения стоят довольно дорого, но украсить школу и класс можно и своими ...";"Как украсить класс к Новому году - Поделки к праздникам";"http://gamejulia.ru/kak-ukrasit-klass-k-novomu-godu.html&sa=U&ved=0ahUKEwjIl4G0y-3XAhWrkOAKHWpaAIAQFggzMAc&usg=AOvVaw0LI7UZhBEfHLReH";"27 окт 2015 ... С огромным нетерпением ждут наступления праздника Нового года дети. Новый год для детей – это масса положительных эмоций, море подарков и сюрпризов, это время.";"Как украсить класс к Новому году своими руками? - Vtemu.by";"https://vtemu.by/novosti-v-temu/kak-ukrasit-klass-k-novomu-godu-svoimi-rukami/&sa=U&ved=0ahUKEwjIl4G0y-3XAhWrkOAKHWpaAIAQFgg5MAg&usg=AOvVaw2pK4FjCKNuU7G9n";"Прочитав эту статью вы узнаете о том, как украсить класс на Новый год 2017 . Здесь вы найдете полезные советы по украшению класса, которые легко воплотить.";"Как украсить класс на Новый год 2017. Простые и оригинальные ...";"http://www.svoimi-rukamy.com/ukrachaem-klass-svoimi-rukami-k-novomu-godu.html&sa=U&ved=0ahUKEwjIl4G0y-3XAhWrkOAKHWpaAIAQFghAMAk&usg=AOvVaw1IGLSP4fcVwhB6h";"Каждый Новый год наши родители украшали класс. Но с каждым годом дети все больше и больше брали инициативу в свои руки. И достигнув 4 класса, мы подумали, а почему бы не дать им возможность все сделать самим? Если они справились с украшением елки в третьем классе, что они еще могут ..."
"5B36EE53-CF4C-CEB1-9CB7-B2DC20A5FD57";"Как креативно и интересно организовать новогодний праздник";"kak-organizovat-novogodniy-prazdnik";"fAC8oqp70Ao";"Новогодний корпоратив 2017-2018: идеи организации, места ...";"https://www.kp.ru/guide/novogodnii-korporativ.html&sa=U&ved=0ahUKEwiNko68y-3XAhVNJFAKHZ7UA3YQFgglMAM&usg=AOvVaw3Y1xF0cShH3SLhN";"30 сен 2016 ... В отелях дачного типа можно заказать специальное праздничное меню, организовать банкеты и фуршеты на любое количество персон. Подробнее.. ... Но любой опытный HR скажет вам, что новогодний праздник-корпоратив — это не только вечеринка, но и мероприятие по тимбилдингу.";"10 способов встретить Новый год не так, как обычно - Лайфхакер";"https://lifehacker.ru/2014/12/18/10-sposobov-vstretit-novy-j-god-ne-tak-kak-oby-chno/&sa=U&ved=0ahUKEwiNko68y-3XAhVNJFAKHZ7UA3YQFggrMAQ&usg=AOvVaw2ZDx9GBJPoT5KbR";"18 дек 2014 ... Подарите друг другу особые подарки, как самодельные свечи в Швеции, кизиловые палочки в Болгарии, парные предметы вроде чашек или свечей в Китае. Интересно будет соблюдать новогодние традиции другой страны, например, поедание виноградин под бой курантов, как в Испании, ...";"Сценарии на Новый год, идеи проведения семейного ...";"https://serpantinidey.ru/cat/1/noviy-god&sa=U&ved=0ahUKEwiNko68y-3XAhVNJFAKHZ7UA3YQFggyMAU&usg=AOvVaw19sraSBV1vcSAQF";"Готовые сценарии и идеи, как провести и организовать веселый необычный праздник Новый год. ... Приход Деда Мороза – это традиционный эпизод в сценарии любого новогоднего праздника, именно поэтому важно сделать это оригинально и весело, так, чтобы было интересно самому артисту, ...";"Серпантин идей - Как устроить Новый год дома?! // Как устроить ...";"https://serpantinidey.ru/post/22/kak-ustroit-noviy-god-doma&sa=U&ved=0ahUKEwiNko68y-3XAhVNJFAKHZ7UA3YQFgg4MAY&usg=AOvVaw0tgN1Pp0FVKZMxz";"Как устроить провести Новый год дома тепло весело и интересно. ... Как же его организовать, чтобы было не только душевно, но и оригинально и весело? Вот пара идей. ... Красавица елка неизменный атрибут новогоднего праздника – без нее русский человек встречу Нового года не представляет. А если ..."
"F76B8DB9-0370-63E6-99E3-B94BD16F8E35";"Как выглядеть в новогоднюю ночь";"kak-vyglyadet-v-novogodnyuyu-noch";"2JqL7OHMCVc";"1FB1F895-36A0-D798-8A47-D31EEFD223EB";"Как делать новогоднюю прическу";"kak-delat-novogodnyuyu-prichesku";"APP6EQwcqoE";"Новогодние прически для девочек, 100 фото идей 2018 года";"http://new-year-party.ru/novogodnie-pricheski-dlya-devochek/&sa=U&ved=0ahUKEwiehLLZy-3XAhUDUd8KHeVGC48QFggtMAc&usg=AOvVaw3PCtFDH-gNGOeOk";"Фото лучших вариантов Новогодних укладок, сочетание с образом, стильные Новогодние аксессуары и многое другое. ... Актуальные на Новый год 2017 прически имеют свои особенности, связанные с периодом властвования Огненного Петуха. Укладку стоит делать ее особенно праздничной, так как ...";"Прически на Новый год 2017 - фото на длинные, средние ...";"http://new-year-party.ru/novogodnie-pricheski-na-novyy-god-foto/&sa=U&ved=0ahUKEwiehLLZy-3XAhUDUd8KHeVGC48QFggzMAg&usg=AOvVaw1DguiwSXSxL3M__";"В статье я расскажу, какую модную и красивую сделать новогоднюю прическу для длинных и средних волос в домашних условиях. Каждый стремится выглядеть в новогоднюю ночь сногсшибательно. Это стремление ярче выражено у женщин, которым нравится экспериментировать с нарядами, ...";"Новогодние прически на длинные и средние волосы. Видео и ...";"http://4damki.ru/krasota/novogodnie-pricheski/&sa=U&ved=0ahUKEwiehLLZy-3XAhUDUd8KHeVGC48QFgg8MAk&usg=AOvVaw3M_MxyAIkdda3p9";"Ищите идеи на тему «Новогодние прически» и сохраняйте их в Pinterest. | Посмотрите больше идей на темы Новая прическа, Рецепты для роста волос и Лечение роста ногтей.";"Более 25 лучших идей на тему «Новогодние прически» на ...";"https://ru.pinterest.com/explore/%25D0%25BD%25D0%25BE%25D0%25B2%25D0%25BE%25D0%25B3%25D0%25BE%25D0%25B4%25D0%25BD%25D0%25B8%25D0%25B5-%25D0%25BF%25D1%2580%25D0%25B8%25D1%2587%25D0%25B5%25D1%2581%25D0%25BA%25D0%25B8/&sa=U&ved=0ahUKEwiehLLZy-3XAhUDUd8KHeVGC48QFghGMAo&usg=AOvVaw3z4HM-aDj1BC2n6";"Новый год все ближе, а значит, пора детских утренников официально настала! Какую же прическу сделать девочке, чтобы она была самой красивой и самой необыкновенной? Слава богу, новогодние прически для девочек весьма разнообразны и оригинальны, попробуй, возможно, тебе самой захочется ..."
"538A7BC5-84AA-BB3E-2726-E54F5555BAED";"Как написать хороший сценарий";"kak-napisat-horoshiy-scenariy";"ncvPMCPRipw";"Как написать хороший сценарий? - Портал Субкультура";"https://sub-cult.ru/chtivo/poleznye-sovety/2604-kak-napisat-horoshii-scenarii&sa=U&ved=0ahUKEwiqsN_gy-3XAhVRUd8KHfsuAncQFggmMAM&usg=AOvVaw2iUy78ZdmQ2BcWb";"15 авг 2014 ... Ведь любой фильм начинается со сценария. А как написать хороший сценарий, вы узнаете из этой статьи.";"Как хороший сценарий сделать великим - DramaFond";"http://dramafond.ru/wp-content/uploads/2014/11/%25D0%25BA%25D0%25B0%25D0%25BA_%25D1%2585%25D0%25BE%25D1%2580%25D0%25BE%25D1%2588%25D0%25B8%25D0%25B9_%25D1%2581%25D1%2586%25D0%25B5%25D0%25BD%25D0%25B0%25D1%2580%25D0%25B8%25D0%25B9_%25D1%2581%25D0%25B4%25D0%25B5%25D0%25BB%25D0%25B0%25D1%2582%25D1%258C_%25D0%25B2%25D0%25B5%25D0%25BB%25D0%25B8%25D0%25BA%25D0%25B8%25D0%25BC.pdf&sa=U&ved=0ahUKEwiqsN_gy-3XAhVRUd8KHfsuAncQFggtMAQ&usg=AOvVaw0HOZMnLsLDOnVHS";"Написать хороший сценарий не сложно, если есть хорошая идея, а тем более, если Вы уже придумали историю. Не сложно также перенести эту историю на бумагу - для этого необходимо лишь некоторое умение. Процесс написания киносценария правильнее было бы назвать процессом переписывания ...";"Начинаем писать сценарий | Всё о кинопроизводстве";"http://snimifilm.com/almanakh/planirovanie-i-stsenarii/stsenarii/nachinaem-pisat-stsenarii&sa=U&ved=0ahUKEwiqsN_gy-3XAhVRUd8KHfsuAncQFggzMAU&usg=AOvVaw3cGVis16lTjzh-x";"С чего начать? В кинопроизводстве написание сценария является самой главной вещью. Хороший фильм невозможно снять в отсутствие хорошего сценария. Голливудские студии иногда прибегают к посредственным сценариям, потому что у них есть звездные актеры, и зритель в любом случае ...";"Как придумать сюжет для комикса и написать сценарий ...";"https://www.comicsnews.org/articles/masterskaya/kak-pridumat-syuzhet-dlya-komiksa-i-napisat-scenarij&sa=U&ved=0ahUKEwiqsN_gy-3XAhVRUd8KHfsuAncQFgg5MAY&usg=AOvVaw20UjtIzQnEI1xQR";"2003, Vanyamba Зачем нужен сценарий. В незапамятные времена человек взял в руки тетрадку, расчертил первую страницу на 12 клеток и стал рисовать комикс. Главным хорошим героем в этом комиксе был он сам, главным гадом – плохой парень из соседнего двора. Плохой был главой мафии, ..."
"D4739A07-C800-D76E-4A54-B829F6A43D01";"Как сделать праздник веселым";"kak-sdelat-prazdnik-veselym";"_vM1N9xppSY";"Детский праздник. Как сделать праздник для детей веселым";"http://www.wild-mistress.ru/wm/wm.nsf/publicall/2009-05-11-240897.html&sa=U&ved=0ahUKEwi75cPoy-3XAhWhRt8KHeiSA-EQFggoMAM&usg=AOvVaw21d6KNGX3MaPrXI";"11 май 2009 ... Если взрослые уже умеют как-то обставлять свои праздники, то праздник для детей часто вызывает серьезные затруднения и просто не получается. То есть, было желание сделать день рождения или другой день для ребенка запоминающимся, радостным, веселым, а не получилось.";"Веселые семейные праздники - организация и проведение ...";"https://www.goodhouse.ru/family_and_children/fun/344832/&sa=U&ved=0ahUKEwi75cPoy-3XAhWhRt8KHeiSA-EQFggzMAU&usg=AOvVaw3U21qDjaPz5hMlB";"5 дек 2012 ... Проведение семейного праздника. веселый праздник семьи Совет 1: Продумайте количество гостей. Их должно быть столько, сколько может вместить ваше жилье. Однако по опыту могу сказать: лучше, если будет не больше 10–12 человек. В такой компании все друг друга слышат, а в ...";"День рождения ребёнка в домашних условиях . Как весело ...";"http://www.7ya.ru/article/Den-rozhdeniya-rebenka-v-domashnih-usloviyah/&sa=U&ved=0ahUKEwi75cPoy-3XAhWhRt8KHeiSA-EQFgg5MAY&usg=AOvVaw1rvESHJdPEGGgf6";"Для начала следует усвоить, что день рождения ребёнка - это не только его праздник, но и ваш, поэтому совсем необязательно взваливать всё полностью на плечи родителей. Дети вполне в ..... Племяннице скоро 5 лет, она такой ребенок что послушно будет стараться и сделать все что сказали.";"Как сделать праздник веселым или 20 игр для большой компании";"http://ocpmcc.edu35.ru/tochildren/tochild/590-statii-2015-nepeina-prazdnik&sa=U&ved=0ahUKEwi75cPoy-3XAhWhRt8KHeiSA-EQFgg_MAc&usg=AOvVaw1cpXzd6FY1ofK03";"26 фев 2015 ... Непеина Анастасия Николаевна,. педагог-психолог. Скоро Новый год! Время праздников, веселья, мандаринов и сладостей. Как сделать этот праздник ярким, запоминающимся, неповторимым? nepeina 1 1. Какой же праздник без игр, конкурсов и развлечений? Предлагаем Вам несколько ..."
"FF930854-C516-C65A-ADCA-23143833611A";"Как выглядеть красиво в праздник Новый год";"kak-vyglyadet-krasivo-v-prazdnik-novyy-god";"N5uAi_tPJ58";"Как выглядеть красиво в Новый год - Страна Советов";"http://strana-sovetov.com/fashion/5145-how-to-look-beautiful.html&sa=U&ved=0ahUKEwjk_5L0y-3XAhUhRN8KHbduDGwQFggmMAM&usg=AOvVaw2ai1btdM0CfGcNV";"19 дек 2011 ... Конечно, после праздников они могут вернуться, но вас ведь интересует, как выглядеть красиво в Новый год. Основательной борьбой с лишними килограммами можно будет заняться уже после каникул. Чтобы в новогоднюю ночь выглядеть красиво, нужно уделить внимание и волосам.";"Как красиво выглядеть на Новый год-2018: фото, как нужно ...";"http://modnica.info/%3Fp%3D33133&sa=U&ved=0ahUKEwjk_5L0y-3XAhUhRN8KHbduDGwQFggtMAQ&usg=AOvVaw0LsnDJ9d2ENJIYm";"Итак, для тех, кто интересуется, как выглядеть обалденно на Новый Год, перед праздником следует создать подходящий мейк-ап. Прежде всего, макияж нужно подбирать в зависимости от образа, наряда и прически девушки. Не нужно отказываться от черных стрелок, они помогут сделать взгляд более ...";"13 способов выглядеть сногсшибательно на вечеринке - cosmo ...";"http://www.cosmo.com.ua/13-sposobov-viglyadet-snogsshibatelno-na-vecherinke/&sa=U&ved=0ahUKEwjk_5L0y-3XAhUhRN8KHbduDGwQFggyMAU&usg=AOvVaw2hKMGq3los81vJF";"23 дек 2011 ... Декабрь - сезон вечеринок и корпоративов. Хочешь блистатьна них, подобно звездам Голливуда? Божественное тело, прекрасный макияж, сексуальная прическа - думаешь, эта мечта из серии нереальных? Стоит только попробовать. Немножко стараний, капелька кокетства – и ты звезда!";"Как на Новый год выглядеть безупречно? - Доктор Алвик";"http://doctoralvik.ru/zhenskoe-zdorove/territoriya-krasoty/1838-kak-na-novyj-god-vyglyadet-bezuprechno&sa=U&ved=0ahUKEwjk_5L0y-3XAhUhRN8KHbduDGwQFgg5MAY&usg=AOvVaw2WAMZxS2L5ZRkMo";"Новый год — это волшебный праздник, поэтому и себя хочется почувствовать сказочной феей, неотразимой и прекрасной. Мы предлагаем несколько советов, которые помогут выглядеть на Новый год безупречно. В предпраздничной суете обязательно найдите время для себя, чтобы в спокойной ..."
"E6D64545-74F0-3F65-1A1C-A244A8EB3BD8";"Как хранить елочные игрушки";"kak-hranit-elochnye-igrushki";"AIY49Q09JW4";"Как хранить новогодние игрушки | Блогохозяйка";"http://www.blogohoz.ru/kak-xranit-elochnye-igrushki/&sa=U&ved=0ahUKEwiUoKKKzO3XAhUkQt8KHcEVAHoQFgguMAc&usg=AOvVaw1QpYCvhevtn542I";"16 янв 2014 ... Несколько идей, которые помогут быстро и аккуратно убрать елочные игрушки для следующего Нового года.";"Как хранить елочные игрушки | Goodhouse.ru - Домашний очаг";"https://www.goodhouse.ru/home/good_house/kak-xranit-elochnye-igrushki/&sa=U&ved=0ahUKEwiUoKKKzO3XAhUkQt8KHcEVAHoQFgg1MAg&usg=AOvVaw1rvAcHSqdQTRodH";"5 янв 2015 ... С окончанием зимних праздников новогодней красавице и елочным игрушкам предстоит спрятаться до следующей зимы, т. е. практически на год . Как же лучше хранить елочные игрушки и украшения, чтобы с наступлением праздников достать их в целости и сохранности?";"Хранение елочных игрушек -";"https://domovenokk.ru/optimizatsiya/hranenie-elochnyih-igrushek&sa=U&ved=0ahUKEwiUoKKKzO3XAhUkQt8KHcEVAHoQFgg7MAk&usg=AOvVaw2B-EbuDFx6t6yDr";"Как хранить новогодние елочные игрушки. Способы хранения стеклянных шаров и гирлянд. Как выбрать место для хранения, какую использовать коробку.";"Как хранить елочные игрушки: шары, фигурки, мишуру, гирлянды";"http://hozobzor.ru/kak-hranit/idei-xraneniya-novogodnix-elochnyix-igrushek.html&sa=U&ved=0ahUKEwiUoKKKzO3XAhUkQt8KHcEVAHoQFghCMAo&usg=AOvVaw1QDWUevG7vn6VmX";"13 янв 2015 ... Проект организации хранения елочных игрушек и новогодних украшений. ... Или перед тем, как окончательно убрать все коробки с новогодними украшениями на длительное хранение. Чуть больше про первый этап решения любой организационной проблемы читайте в этом посте. Итак ..."
"F5A16B2B-8305-525F-F104-8D75D5628FB4";"Как выбрать искусственную елку";"kak-vybrat-iskusstvennuyu-elku";"9_JSFfq-Hew";"Как выбрать искусственную елку для дома - советы на Новый Год";"http://news-webs.ru/poleznye-sovety/kak-vybrat-iskusstvennuyu-elku-dlya-doma.html&sa=U&ved=0ahUKEwi_2c2RzO3XAhVDmuAKHWSkAMUQFggmMAM&usg=AOvVaw1DMtHh6WZnW4B3g";"Новогодняя сказка приходит в дом вместе с появлением зеленой елки. Особенно актуальна установка нарядной красавицы для семей с маленькими детьми. Кто-то предпочитает покупать каждый год живое деревце, другие же – приобретают искусственную елку, которая прослужит не один год. Второй ...";"Как выбрать искусственную елку? - allWomens";"http://www.allwomens.ru/17507-kak-vybrat-iskusstvennuyu-elku.html&sa=U&ved=0ahUKEwi_2c2RzO3XAhVDmuAKHWSkAMUQFggsMAQ&usg=AOvVaw3adtD5q5IBskiY0";"Как правильно выбирать искусственную елку, полезные советы.";"Как выбрать елку, как выбрать искусственную елку, как ...";"http://www.nexplorer.ru/news__12028.htm&sa=U&ved=0ahUKEwi_2c2RzO3XAhVDmuAKHWSkAMUQFggyMAU&usg=AOvVaw204w4odKkq2Xcd_";"Летят снежинки, летят дни декабря, предновогодняя суета во всем... Пора подумать, как выбрать елку на Новый Год! Попробуем разобраться в плюсах и минусах елок, узнаем, как правильно выбрать живую елку и как выбрать искусственную елку. А если выбор падет на живую хвойную красавицу, стоит  ...";"Как выбрать искусственную ёлку? | Развлечения | Новый год ...";"http://www.aif.ru/ny/nyentertaiment/kak_vybrat_iskusstvennuiu_elku&sa=U&ved=0ahUKEwi_2c2RzO3XAhVDmuAKHWSkAMUQFgg8MAc&usg=AOvVaw3R7GWh2I-Ih6Iml";"20 дек 2014 ... Искусственная ёлка должна быть не только красивой, но и безопасной. Впрочем, как и игрушки. «Аиф» выяснил, как правильно их выбирать."
