GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"A9DC2D13-8AC5-E3FA-AE1F-9908FBA710B4";"Как снять опухоль после удаления зуба";;"onM3ICugyTo";"Отек после удаления зуба: сколько держится, как снять?";"http://infozuby.ru/otek-posle-udaleniya-zuba.html";"Как снять отёк после удаления зуба? Возможные осложнения ... Через сколько спадает опухоль, если был удалён зуб мудрости и пошло нагноение.";"После удаления зуба опухла щека: что делать ... - Дентал Гуру";"https://dentalgu.ru/statyi/other/posle-udaleniya-zuba-opukhla-shcheka-chto-delat-kakie-preparaty-prinimat-/";"Часто зуб удаляют из-за развития гнойной инфекции. Тогда после удаления зуба лунка обрабатывается антисептиком, а пациенту назначаются ...";"Как снять отек после удаления зуба, как снять опухоль";"http://partner-med.com/articles/hirurgiya-chelustnaya/Kak-snyat-otek-posle-udaleniya-zuba";"Как снять опухоль с щеки после удаления зуба. ... Если же после удаления зуба опухла щека, то самым простым и действенным средством будет лед, ..."
"23128F90-DBC9-9A3D-6D44-ACC72F4B4A59";"Как применять бодягу";;"a7gqn2nSkws";"Как применять бодягу бодяга как применять Нетрадиционная ...";"https://www.kakprosto.ru/kak-75297-kak-primenyat-bodyagu";"Бодяга – это растение, которое растет на озерах, реках и болотах.";"Бадяга от синяков, правила использования геля и порошка";"https://womanmirror.ru/uhod-za-telom/badyaga-ot-sinyakov-uskoryaem-zazhivlenie-ushibov.html";"Применение этого препарата достаточно широкое, начиная от радикулита и заканчивая постакне, так что обзавестись им будет нелишним женщинам ...";"Все подробно про Бадягу...(+ много фото) отзывы — Косметиста";"https://kosmetista.ru/blog/uhodovaya-kosmetika/3187.html";"13 окт 2010 ... Отзыв реального покупателя "Все подробно про Бадягу...(+ много фото)" ... Применяют её в качестве лекарственного средства. Состав: ..."
"37E6D7AE-AC4D-0AC1-A007-3D6E2859482A";"Как убрать холестериновые бляшки";;"CKOHnfJ_TSE";"Виктор Черняк: «Очистка сонной артерии от холестериновых ...";"http://fakty.ua/180403-viktor-chernyak-esli-pochistit-ot-holesterinovyh-blyashek-sonnuyu-arteriyu-eto-ne-tolko-predotvratit-insult-no-i-mozhet-izbavit-ot-gipertonii";"19 апр 2014 ... Виктор Черняк: «Очистка сонной артерии от холестериновых бляшек может избавить от .... Их надо убирать, не откладывая. Плотную ...";"Как можно убрать холестериновые бляшки в сосудах";"https://holesterinstop.ru/bolezni-i-ix-lechenie/ubiraem-xolesterinovye-blyashki-v-sosudax.html";"Убрать холестериновые бляшки и лишний холестерин можно несколькими способами: медикаментозные методы, операции, народная медицина, ...";"Холестериновые бляшки на сердце, как убрать ...";"https://aterhol.ru/opasnost/holesterinovyie-blyashki-v-sosudah-serdtsa/";"27 июл 2017 ... Кардиограмма не покажет наличие холестериновых бляшек в сердце, как не покажет и биохимический анализ крови (в том числе на ..."
"19E0AF0F-71C2-E283-FB1C-7751D68B3EBA";"Как снизить пролактин народными средствами";;"Q6JmjVOh3v0";"Как понизить пролактин у женщин: лечение повышенного уровня ...";"https://endokrinnayasistema.ru/gipofiz/kak-ponizit-prolaktin-u-zhenshhin.html";"Пролактин – гормон, отвечающий за зачатие, вынашивание и вскармливание ... Снизить пролактин народными средствами при выявлении опухолевых ...";"Как понизить пролактин народными средствами";"https://narodnymisredstvami.ru/kak-ponizit-prolaktin-narodnyimi-sredstvami/";"25 янв 2016 ... Снижение пролактина народными средствами является одним из способов возобновления работы гормонов. Узнайте, как можно ...";"Понижение пролактина травами: народные средства";"http://sila-v-travah.su/travy-ponizhayushchie-prolaktin";"Как понизить пролактин у женщин народными средствами? Эффективные травы для снижение пролактина. Народные средства понижения уровня ..."
"325E536E-5A8E-C3DC-D6C7-FF5949F6BCDA";"Как избавиться от алкоголизма народными средствами в 2018 году";;"y3iO09ypceg";"Лечение алкоголизма народными средствами ... - Про Алкоголизм";"https://proalkogolizm.ru/narodnye-sredstva-ot-alkogolizma/";"Бабушкино средство от алкоголизма. ... Лечение алкоголизма народными ... 21.04.2018 в 21:39 ... Уже 2 года ни капли… Добавить ...";"Самые эффективные народные средства от алкоголизма в ...";"https://sovets.net/16315-samye-effektivnye-narodnye-sredstva-ot-alkogolizma.html";"Лечение алкоголизма народными средствами в домашних условиях ... Средство помогает зависимому человеку избавиться от интоксикации метаболитами .... Льготная пенсия по вредности в 2018 году: список профессий и стаж.";"Лечение алкоголизма народными средствами (травами) в ...";"http://prozavisimost.ru/alkogolizm/lechenie/narodnye-sredstva-ot-alkogolizma.html";"Лечение алкоголизма народными средствами в домашних условиях проводится при ... мужчинам и женщинам избавиться от алкогольной зависимости."
"695FB803-1644-A72E-39C0-D8069E1E716B";"Как лечить внутричерепное давление у взрослых";;"KHqWhk2cGmk";"Внутричерепное давление: симптомы, лечение, признаки ...";"http://www.neuroplus.ru/bolezni/vnutricherepnoe-davlenie/vnutricherepnoe-davlenie-u-vzroslyh.html";"Внутричерепное давление у взрослых. Внутричерепное давление – это скопление или недостаток спинномозговой жидкости в определенной части  ...";"Лечение внутричерепного давления у взрослых - Головная боль";"http://golovnie-boli.ru/lechenie-golovnih-boley/lechenie-vnutricherepnogo-davleniya-u-vzroslih";"Как лечить вчд внутричерепное давление у взрослых людей.";"Внутричерепное давление: симптомы, лечение | Азбука здоровья";"http://zdravotvet.ru/povyshennoe-vnutricherepnoe-davlenie-simptomy-lechenie-oslozhneniya/";"При повышении внутричерепного давления симптомы у взрослых развиваются в ..."
"644EC475-A517-6906-99B1-D3D285AD6CEB";"Как заваривать льняное семя";;"tzAJo06oRRE";"Как правильно заваривать семя льна - Все о льне";"http://izolna.net/interesno/zavarivat-semya-pravilno.html";"Чтобы получить больше положительных результатов от льняного лечения, необходимо знать, как заваривать семена льна правильно. Давно известно ...";"Как правильно заварить семена льна для желудка и кишечника ...";"http://delafe.ru/page/kak-zavarivat-semena-lna-luchshie-sposoby";"Как заваривать семена льна: лучшие способы ... Их можно употреблять различными способами – заваривать, добавлять в салаты и ... Льняное семя.";"Как заваривать семена льна при гастрите с повышенной ...";"http://bolzheludka.ru/semya-lna-pri-gastrite/";"1 Применение; 2 Как заваривать семена льна при гастрите? 2.1 Противопоказания. 2.1.1 Отзывы: Семя льна является настоящей кладезю витаминов."
"9852BF53-31AB-38D7-2FE6-7518E13DEE4B";"Как избавиться от алкоголизма";;"MtxN98wbHPk";"Бросить пить алкоголь самостоятельно: способы избавиться от ...";"http://prozavisimost.ru/alkogolizm/lechenie/brosit-pit-samostoyatelno.html";"Важно! На начальном этапе заболевания можно избавиться от алкоголизма самостоятельно даже в домашних условиях. При запущенных формах ...";"Как избавиться от алкогольной зависимости";"http://vsegdazdorov.net/story/kak-izbavitsya-ot-alkogolnoy-zavisimosti";"Употребление спиртного формирует тягу, когда человек не может отказаться от рюмки. Как избавиться от алкогольной зависимости и восстановить ...";"Как избавиться от пьянства мужа народными средствами";"http://alcogolizm.com/pyanstvo/kak-izbavitsya-ot-pyanstva-narodnymi-sredstvami.html";"Алкоголизм является самой сложной формой зависимости, лечить которую нелегко. Но как избавиться от пьянства? У каждого отдельно взятого ..."
"4540B20E-346C-3CDB-AD2A-57D52CA063DD";"Как восстанавливаться после химиотерапии";;"rGQkpHT7ZTE";"Как организму быстро восстановиться после химиотерапии ...";"http://www.wday.ru/moda-shopping/gar/kak-vosstanovitsya-posle-himioterapii/";"26 дек 2016 ... Как восстановиться после химиотерапии морально и физически? Помогут медикаменты, здоровое питание, ЛФК, ...";"Восстановление после химиотерапии в домашних условиях";"http://pro-rak.com/onkologiya/posle-himioterapii/";"После прохождения курса химиотерапии люди обычно испытывают ...";"Восстановление после химиотерапии - Лечение рака";"http://www.onkolog-rf.ru/vosstanovlenie-posle-himioterapii";"Причин диареи после химиотерапии может быть несколько, но основная ... Если у вас остались вопросы, как восстановиться после химиотерапии и ..."
"8EEA4B65-0091-4B25-5329-A35AD1A14598";"Как избавиться от бурления в животе";;"T-Qos6wlDcw";"Как избавиться от урчания в животе - HowToGetRid.ru";"http://howtogetrid.ru/kak-izbavitsya-ot-urchaniya-v-zhivote-narodnymi-sredstvami/";"1 Почему урчит в животе; 2 Как избавиться от урчания в животе; 3 Аптечные средства от урчания в животе; 4 Народные рецепты от урчания в животе.";"Как избавиться от урчания в животе раз и навсегда - Woman's Day";"http://www.wday.ru/krasota-zdorovie/sok/kak-izbavitsya-ot-urchaniya-v-jivote-effektivnyie-sposobyi/";"11 окт 2016 ... Посторонние звуки в животе доставляют вам массу неудобств? Прочитав эту статью до конца, вы узнаете, как избавиться от урчания ...";"помогите... как избавиться от урчание в животе? - Woman.ru";"http://www.woman.ru/health/medley7/thread/4489678/";"1 ноя 2014 ... Но это не способ избавиться навсегда, а только временная мера, тут .... От урчания в животе необходимо убратьсладкое и мучное из ..."
